observation_date,CAPCEPCRECGD
1997-01-01,771
1998-01-01,840
1999-01-01,919
2000-01-01,1044
2001-01-01,1056
2002-01-01,1076
2003-01-01,1099
2004-01-01,1176
2005-01-01,1247
2006-01-01,1323
2007-01-01,1353
2008-01-01,1248
2009-01-01,1077
2010-01-01,1099
2011-01-01,1098
2012-01-01,1127
2013-01-01,1125
2014-01-01,1142
2015-01-01,1177
2016-01-01,1169
2017-01-01,1225
2018-01-01,1353
2019-01-01,1455
2020-01-01,1642
2021-01-01,1999
2022-01-01,2075
2023-01-01,2082
